"GRR","p_c","n_2","g_2","n_3","g_3","n_4","g_4","n_5","g_5","n_6","g_6"
1,0.002,1000,0,46,0,3,0,0,0,0,0
5,0.002,1000,15,49,2,2,0,0,0,0,0
10,0.002,1000,33,51,4,3,0,0,0,0,0
15,0.002,1000,68,46,14,4,3,2,2,0,0
20,0.002,1000,91,60,21,5,5,0,0,0,0
25,0.002,1000,132,75,45,13,11,3,3,0,0
30,0.002,1000,164,81,46,15,13,3,3,0,0
35,0.002,1000,184,86,60,23,22,2,2,0,0
40,0.002,1000,188,92,63,28,26,5,5,0,0
45,0.002,1000,205,103,67,31,30,12,12,1,1
50,0.002,1000,225,130,88,31,28,11,10,6,6
55,0.002,1000,238,124,94,36,35,13,13,7,7
60,0.002,1000,252,146,113,46,44,17,17,7,7
65,0.002,1000,261,130,99,36,36,16,16,8,8
70,0.002,1000,282,150,123,48,47,17,17,6,6
75,0.002,1000,289,145,125,48,48,20,20,5,5
80,0.002,1000,295,147,114,43,41,21,21,7,7
85,0.002,1000,287,137,120,51,51,22,22,12,12
90,0.002,1000,333,179,151,68,64,22,21,6,6
95,0.002,1000,330,173,144,53,53,27,27,16,16
100,0.002,1000,339,158,138,62,62,28,28,17,17
1,0.005,1000,0,42,0,4,0,0,0,0,0
5,0.005,1000,46,60,13,3,1,1,0,0,0
10,0.005,1000,121,56,23,5,3,1,1,0,0
15,0.005,1000,171,67,31,10,9,1,1,1,1
20,0.005,1000,210,100,60,14,9,4,4,1,1
25,0.005,1000,273,99,67,18,18,4,4,0,0
30,0.005,1000,327,122,98,35,35,11,11,2,2
35,0.005,1000,350,131,106,31,31,9,9,6,6
40,0.005,1000,389,165,136,43,41,12,12,2,2
45,0.005,1000,427,162,142,57,56,15,15,7,7
50,0.005,1000,461,196,168,63,61,21,21,5,5
55,0.005,1000,467,162,145,49,47,20,20,7,7
60,0.005,1000,534,228,213,84,83,36,36,9,9
65,0.005,1000,516,213,198,66,65,25,25,7,7
70,0.005,1000,557,241,222,81,81,28,28,11,11
75,0.005,1000,576,249,235,79,79,33,33,13,13
80,0.005,1000,590,246,236,93,92,35,35,11,11
85,0.005,1000,579,246,232,89,89,35,35,9,9
90,0.005,1000,609,244,238,90,89,39,39,15,15
95,0.005,1000,597,268,253,94,92,35,35,10,10
100,0.005,1000,634,303,294,125,125,53,53,19,19
1,0.01,1000,0,49,0,1,0,0,0,0,0
5,0.01,1000,70,47,5,5,2,1,1,0,0
10,0.01,1000,183,66,35,9,8,3,3,1,1
15,0.01,1000,294,88,54,13,11,1,1,1,1
20,0.01,1000,383,111,85,18,17,5,5,1,1
25,0.01,1000,441,130,103,24,22,4,4,2,2
30,0.01,1000,511,169,149,41,40,13,13,5,5
35,0.01,1000,585,184,166,44,44,12,12,3,3
40,0.01,1000,584,186,170,48,47,12,12,5,5
45,0.01,1000,646,232,217,69,69,14,14,5,5
50,0.01,1000,689,250,240,82,81,37,37,14,14
55,0.01,1000,701,237,230,78,78,27,27,8,8
60,0.01,1000,711,257,244,79,78,32,32,15,15
65,0.01,1000,730,247,236,76,76,20,20,3,3
70,0.01,1000,751,301,294,93,93,38,38,8,8
75,0.01,1000,786,306,297,104,103,34,34,7,7
80,0.01,1000,798,301,296,114,114,32,32,15,15
85,0.01,1000,794,293,286,103,103,30,30,8,8
90,0.01,1000,816,291,285,106,106,47,47,13,13
95,0.01,1000,831,322,318,104,104,39,39,13,13
100,0.01,1000,834,349,342,122,122,45,45,14,14
